5,"('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)"
510,74,0,48,58,48,17,54,10,0,0,0,0,83,0,128,118,107,22,0,10,30,55,0,91,71,76,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,672
511,26,0,2,10,15,10,8,15,27,0,10,20,38,0,60,64,59,20,0,4,12,34,0,44,56,29,20,0,3,4,12,6,0,6,18,44,0,38,64,284,112,364
512,8,0,0,0,15,0,9,0,0,0,0,0,14,0,17,10,11,22,0,0,4,26,0,23,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
513,48,0,14,22,0,0,0,0,12,0,5,8,43,0,44,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,11,0,11,24,132,36,142
514,20,0,8,6,14,2,5,5,27,0,8,23,36,9,42,39,37,12,0,4,6,31,7,36,33,23,18,0,8,9,12,22,0,8,22,41,12,46,89,280,198,264
515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,0,19,6,11,12,2,4,5,16,54,8,18,16,45,0,47,73,134,46,154
516,72,0,32,80,14,4,12,1,33,0,11,50,89,0,127,124,109,2,0,0,0,14,0,21,8,12,4,0,3,5,10,10,4,2,12,35,0,61,59,360,198,624
517,10,0,2,6,1,0,6,0,16,0,2,9,17,0,23,17,7,0,0,0,0,7,0,6,5,0,4,0,0,1,4,8,0,8,4,20,0,18,25,98,28,118
518,44,0,18,22,0,0,0,0,7,0,5,3,39,9,29,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,3,7,7,104,20,132
519,30,2,8,18,6,2,6,1,32,2,22,41,46,0,62,88,38,2,0,0,0,13,0,16,20,9,9,0,4,9,30,60,14,18,26,63,0,94,131,340,128,584
520,46,4,20,18,41,32,26,27,5,1,6,8,66,1,82,127,51,28,8,20,28,50,0,76,111,72,8,1,1,2,0,0,0,0,2,6,2,13,16,340,146,602
521,18,0,6,4,26,6,5,16,20,0,6,21,42,0,45,59,24,18,0,6,4,33,0,55,56,33,18,0,8,14,16,8,0,6,20,41,0,42,72,284,112,364
522,24,0,4,2,31,9,12,11,17,0,6,6,42,11,44,60,30,16,0,10,22,42,7,63,67,31,18,0,6,8,4,0,0,0,6,24,10,17,56,280,198,264
523,34,0,20,20,0,0,0,0,18,0,3,9,43,0,39,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,15,0,14,25,132,36,142
524,22,0,6,4,11,4,4,11,30,0,10,29,35,0,54,58,35,6,0,2,2,21,0,30,33,16,19,0,5,6,30,16,4,10,34,60,0,58,95,284,112,364
525,22,0,24,16,0,0,0,0,59,0,10,71,64,0,66,52,58,0,0,0,0,0,0,0,0,0,0,0,0,0,32,48,0,28,98,74,0,118,148,360,198,540
526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,24,53,0,68,47,65,30,1,0,27,6,20,0,0,10,37,0,42,41,200,68,286
527,2,0,0,0,9,0,5,0,1,0,0,3,6,0,7,8,4,22,0,2,16,26,0,29,24,8,7,0,5,6,4,0,0,0,0,15,0,12,13,98,28,118
528,14,0,6,2,17,0,5,0,0,0,0,0,18,0,25,12,19,12,0,0,4,22,0,15,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
529,2,0,24,2,56,1,55,2,0,0,0,0,50,0,51,40,50,78,0,46,92,88,0,159,158,91,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,624
530,48,0,12,6,6,0,2,0,0,0,0,0,38,0,35,22,40,0,0,0,0,2,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,76,50,54
531,10,0,18,6,52,8,57,8,0,0,0,0,51,0,54,49,54,78,0,38,84,87,0,158,147,87,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,624
532,2,2,0,2,5,0,1,0,9,2,0,3,11,0,11,10,16,2,0,0,0,9,0,8,4,9,3,2,0,3,6,6,0,0,6,20,0,19,13,76,36,60
533,4,0,0,6,12,3,3,5,21,0,8,23,23,0,29,36,19,10,0,4,10,29,0,43,51,28,29,0,10,10,32,24,4,12,38,64,0,70,104,284,112,364
534,24,0,8,20,6,0,1,0,16,0,4,8,34,0,33,52,9,0,0,0,0,5,0,4,7,0,1,0,0,0,6,4,0,6,2,17,0,14,24,132,38,144
535,44,0,16,52,30,11,25,7,21,0,8,36,68,0,92,85,76,10,0,4,14,39,0,54,62,39,11,0,4,15,10,10,6,0,10,31,0,54,56,360,198,624
536,14,2,0,6,0,0,1,0,12,3,0,6,17,0,18,17,23,0,0,0,0,1,0,3,1,4,2,1,0,0,6,6,0,0,2,22,0,12,14,76,36,62
537,8,0,0,2,0,1,1,0,12,3,0,4,17,0,9,11,15,0,0,0,0,1,0,3,2,3,2,0,0,0,6,10,0,0,8,22,0,23,13,76,24,72
538,14,0,2,2,5,0,3,2,0,0,0,0,17,0,12,12,8,2,0,0,0,5,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,16
539,30,0,8,10,0,0,0,0,8,0,8,5,28,0,29,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,13,0,13,15,98,28,118
540,20,0,26,16,56,8,61,10,0,0,0,0,62,0,70,64,60,60,0,32,64,76,0,138,136,81,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
541,10,0,6,10,13,1,5,0,7,0,3,2,21,0,23,19,7,2,0,2,4,16,0,16,16,2,4,0,3,2,2,2,0,0,2,10,0,9,13,98,28,118
542,2,0,0,0,13,8,7,3,3,0,3,4,14,0,15,25,6,78,8,34,48,81,0,111,156,72,29,1,11,24,12,20,2,12,8,27,0,46,66,340,134,598
543,38,0,18,16,9,5,7,0,0,0,0,0,33,0,37,35,40,2,0,0,0,11,0,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
544,36,0,14,38,36,12,34,12,12,0,5,20,65,0,88,82,79,26,0,14,30,49,0,89,71,49,15,0,5,13,4,0,0,4,4,24,0,32,32,360,198,624
545,0,0,0,2,4,0,2,1,0,0,0,1,4,0,5,3,3,20,0,0,16,26,0,26,32,10,9,0,0,8,6,0,0,2,0,11,0,11,10,98,28,118
546,2,0,2,6,9,0,3,0,7,0,2,5,15,0,13,14,10,6,0,0,2,15,0,15,11,5,4,0,3,7,0,4,0,2,4,11,0,15,16,90,28,116
547,42,0,32,24,47,23,55,15,0,0,0,0,65,0,88,98,94,56,0,12,52,73,0,127,95,89,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
548,2,0,0,2,5,1,0,5,22,0,8,19,20,0,22,21,17,4,0,0,0,22,0,23,30,11,25,0,8,6,48,48,12,10,94,74,0,97,141,284,112,364
549,16,0,6,4,18,0,4,0,0,0,0,0,24,0,25,12,20,8,0,0,4,16,0,15,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
550,24,2,18,8,26,19,17,15,18,3,4,26,43,2,63,79,66,30,4,14,18,53,0,69,108,31,19,1,13,3,2,8,4,2,12,26,2,36,61,340,134,608
551,8,0,0,2,5,3,0,4,27,0,10,18,22,7,24,32,23,0,0,4,0,17,6,18,19,23,21,0,2,3,26,58,0,22,50,69,15,82,119,280,198,264
552,2,0,2,0,5,2,3,0,5,0,4,1,11,0,13,10,8,10,4,0,4,24,0,26,37,7,17,0,8,4,8,10,0,6,6,19,0,27,39,134,48,174
553,0,0,0,0,3,2,1,4,4,0,0,1,3,0,7,5,3,44,0,12,16,57,0,69,91,38,44,0,14,14,26,24,8,4,42,56,0,66,97,284,112,364
554,4,0,0,2,2,0,1,0,10,0,1,15,12,0,16,10,9,0,0,0,0,3,0,2,3,2,2,0,0,2,14,10,0,2,14,26,0,24,31,98,28,98
555,8,0,0,2,6,7,2,1,17,2,11,17,24,0,27,40,18,6,0,0,4,20,0,38,44,30,24,1,12,21,38,82,14,20,58,76,0,106,155,340,128,580
556,18,0,10,8,4,1,1,0,11,0,4,7,24,0,30,24,7,0,0,0,0,3,0,2,4,0,1,0,1,0,6,4,0,2,4,17,0,15,21,98,28,118
557,0,0,0,0,0,0,0,0,10,0,6,2,7,0,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,10,18,20,47,0,59,70,134,46,154
558,2,0,0,0,0,0,0,0,22,0,7,21,13,0,8,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,98,106,0,58,160,125,0,140,220,336,222,528
559,32,0,12,10,10,6,10,0,0,0,0,0,32,0,33,33,16,6,0,0,4,12,0,14,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
560,62,0,30,16,0,0,0,0,8,0,5,4,47,0,49,68,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,6,12,132,36,142
561,8,0,0,2,17,0,6,0,0,0,0,0,18,0,15,9,19,18,0,0,8,22,0,25,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
562,100,0,32,58,8,1,2,0,28,0,9,26,83,23,90,124,61,0,0,0,0,6,2,2,6,6,1,0,1,0,2,2,2,0,6,19,3,32,41,280,198,264
563,12,0,0,4,45,18,19,15,0,0,0,0,38,0,58,43,24,74,0,20,54,70,28,66,119,58,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
564,22,0,10,6,16,7,3,22,28,0,4,27,34,0,59,63,37,18,0,2,4,32,0,41,48,24,20,0,6,6,14,12,2,8,18,50,0,42,70,284,112,364
565,46,0,22,50,27,8,28,13,25,0,9,29,72,0,101,94,92,12,0,4,14,33,0,53,54,30,13,0,4,14,4,4,4,0,10,33,0,55,44,360,198,624
566,22,0,2,12,45,18,18,12,0,0,0,0,42,11,42,55,33,64,0,18,48,66,17,82,107,49,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
567,28,0,0,12,0,0,0,0,14,0,0,4,31,0,19,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,9,0,13,11,76,36,62
568,18,0,8,0,0,0,0,0,52,0,15,42,32,0,67,59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,52,28,6,16,66,84,0,75,126,284,112,364
569,0,0,2,2,3,1,5,0,19,0,7,17,19,0,16,16,21,2,0,0,2,18,0,18,15,20,14,0,6,13,70,90,0,42,118,101,0,147,163,336,222,528
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,32,0,63,57,48,49,0,16,21,56,40,6,12,74,84,0,79,130,284,112,364
571,0,0,0,2,2,0,6,0,2,0,1,4,7,0,9,7,0,10,0,0,8,21,0,18,18,6,11,0,3,8,0,10,0,0,2,13,0,16,17,90,28,116
572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,16,0,15,13,20,13,3,0,6,6,12,2,0,4,24,0,20,15,76,24,72
573,46,6,22,12,0,0,0,0,13,4,4,9,45,2,49,71,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,9,2,17,15,134,56,170
574,24,4,0,12,1,1,0,0,10,2,0,4,30,0,26,18,23,0,0,0,0,1,0,3,1,4,1,0,0,1,2,0,0,0,0,9,0,11,8,76,36,62
575,32,0,6,10,33,10,6,22,8,0,4,9,45,0,58,66,43,32,0,12,18,50,0,61,83,48,16,0,4,13,4,4,0,2,2,21,0,25,33,284,112,364
576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,22,0,47,31,38,27,4,17,26,40,116,16,34,74,100,0,125,208,340,128,526
577,4,0,0,2,11,5,8,0,6,0,3,5,11,8,8,20,21,36,0,12,12,57,9,67,63,36,39,0,9,12,10,24,0,10,28,40,11,49,80,280,198,264
578,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1,2,1,22,0,2,4,20,0,17,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,28
579,2,0,0,0,5,0,3,3,0,0,0,0,7,0,4,6,2,14,0,2,2,15,0,14,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,28
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,38,96,102,0,146,142,128,37,0,13,26,6,10,6,2,8,36,0,50,50,360,198,600
581,102,20,56,54,31,24,22,22,5,1,1,10,91,7,122,184,105,6,2,4,0,27,0,39,54,37,1,0,1,3,0,2,0,2,0,4,0,7,7,340,158,598
582,32,0,12,14,0,0,0,0,17,0,7,11,40,0,36,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,2,18,0,17,34,132,36,142
583,28,0,8,28,23,11,32,7,24,0,9,27,53,0,73,73,60,22,0,8,20,45,0,69,64,53,18,0,7,17,8,6,2,0,18,40,0,61,60,360,198,600
584,0,0,2,0,8,3,4,3,6,0,0,10,11,0,11,14,6,40,0,10,16,55,0,72,88,39,43,0,14,13,20,20,4,6,34,50,0,59,87,284,112,364
585,2,0,0,0,8,1,3,1,0,0,0,0,8,0,7,6,5,8,0,0,2,14,0,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,28
586,0,0,0,0,0,0,1,0,2,0,1,4,2,0,1,1,4,0,0,0,0,4,0,2,4,7,7,0,1,3,110,132,0,68,182,132,0,132,257,336,222,528
587,36,0,8,6,15,8,9,18,30,0,7,27,51,0,61,75,45,10,0,2,10,25,0,39,46,27,18,0,5,6,10,8,4,4,18,40,0,42,74,284,112,364
588,22,0,10,8,15,3,8,0,7,0,2,3,28,0,29,43,11,4,0,2,6,17,0,17,26,3,3,0,1,1,2,2,0,0,0,9,0,9,12,132,36,142
589,2,0,0,8,11,0,6,0,4,0,1,0,13,0,14,14,3,16,0,4,6,20,0,21,21,7,3,0,1,8,2,8,0,2,0,10,0,10,11,98,28,118
590,18,0,0,8,12,0,3,0,5,0,0,1,24,0,23,13,23,6,0,0,4,11,0,15,9,11,1,0,0,1,0,0,0,0,0,5,0,2,4,76,36,64
591,4,0,2,0,5,1,0,2,26,0,6,5,19,5,14,28,18,4,0,2,0,15,0,21,22,14,16,0,5,2,38,102,0,28,62,74,21,86,108,280,198,240
592,12,0,2,4,13,7,3,15,26,0,7,23,28,0,44,46,27,12,0,0,4,26,0,44,47,30,25,0,9,12,26,14,2,8,34,62,0,54,90,284,112,364
593,2,0,0,0,12,5,6,9,5,0,1,5,10,0,18,17,8,72,0,24,34,76,0,87,118,42,33,0,7,10,6,10,4,2,14,30,0,37,55,284,112,364
594,38,0,10,16,36,13,25,8,11,0,3,6,51,15,51,74,38,26,0,8,18,44,12,55,74,36,9,0,3,4,0,0,0,0,2,13,1,18,18,280,198,264
595,0,0,2,0,0,0,0,0,9,1,6,4,7,0,12,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,12,14,16,47,0,52,72,134,46,162
596,6,0,0,0,10,0,6,0,0,0,0,0,11,0,11,7,10,34,0,0,10,29,0,29,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
597,26,0,12,10,9,1,7,0,4,0,4,3,26,0,30,24,24,2,0,0,2,10,0,10,13,7,2,0,1,1,0,2,0,2,0,8,0,7,7,98,28,118
598,0,0,0,2,7,2,1,3,11,0,2,15,12,0,14,16,7,12,0,2,2,33,0,36,48,19,30,0,10,15,50,50,12,12,70,71,0,92,133,284,112,364
599,6,0,0,4,27,13,17,15,0,0,0,0,20,3,32,32,15,116,0,30,58,88,25,92,130,67,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
600,16,0,0,6,13,5,12,0,0,0,0,0,19,0,24,34,9,34,0,12,14,29,0,33,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,132,38,144
601,0,0,0,0,0,0,1,1,7,0,1,5,4,0,2,4,7,2,0,0,0,14,0,14,14,19,16,0,7,3,90,110,0,56,156,120,0,136,218,336,222,528
602,2,0,0,4,0,0,0,0,32,0,11,26,24,0,14,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,82,94,0,50,142,114,0,142,189,336,222,528
603,48,0,28,14,5,6,2,0,0,0,0,0,36,0,41,39,45,0,0,0,0,8,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
604,14,0,6,6,18,7,4,12,31,0,7,25,32,0,58,56,37,8,0,0,10,27,0,36,45,17,18,0,7,6,26,10,4,6,28,57,0,48,83,284,112,364
605,8,0,0,6,18,0,5,0,0,0,0,0,19,0,17,11,10,16,0,0,6,21,0,23,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
606,8,0,2,4,13,7,9,10,16,0,3,9,26,5,34,34,24,56,0,16,18,54,16,59,81,41,21,0,7,10,6,10,0,4,8,28,7,31,54,280,198,264
607,36,0,32,26,50,15,53,16,0,0,0,0,65,0,89,109,73,56,0,28,54,73,0,129,81,86,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
608,30,0,12,16,0,0,0,0,22,0,6,13,36,0,31,47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2,6,21,0,25,37,132,38,136
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,16,46,0,44,55,58,14,0,0,17,18,42,10,0,22,44,0,53,48,200,68,286
610,34,0,22,44,27,7,20,4,31,0,9,39,67,0,91,76,80,6,0,2,16,34,0,48,55,35,10,0,5,16,10,12,6,0,22,37,0,61,66,360,198,600
611,56,0,12,44,41,20,22,13,0,0,0,0,59,18,73,98,43,38,0,4,8,49,10,51,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,408
612,36,0,10,4,20,6,3,11,28,0,8,21,52,11,56,57,43,2,0,2,10,22,6,28,41,20,10,0,4,9,10,20,0,8,18,34,11,40,73,280,198,264
613,0,0,0,0,1,0,1,1,2,0,0,0,3,0,2,2,0,12,0,2,0,15,0,11,10,4,4,0,0,1,0,0,0,0,2,4,0,5,6,38,14,28
614,22,0,10,4,21,7,6,16,28,0,6,30,36,0,65,66,55,14,0,2,0,36,0,35,47,21,18,0,5,5,12,10,2,6,22,44,0,42,71,284,112,364
615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,16,64,0,68,51,56,56,0,8,39,40,50,0,30,70,74,0,117,148,336,222,540
616,62,0,32,20,0,0,0,0,7,0,4,5,42,0,52,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,10,132,38,144
617,18,0,10,10,13,8,5,1,26,1,14,28,36,0,51,67,43,8,0,2,4,25,0,34,45,20,13,0,7,19,24,62,12,26,22,61,0,83,123,340,128,580
618,10,0,0,4,15,0,6,0,0,0,0,0,16,0,18,11,14,20,0,0,6,24,0,22,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
619,30,0,0,10,4,0,1,0,10,0,0,4,31,0,27,18,27,0,0,0,0,3,0,3,2,1,0,0,0,1,0,2,0,0,0,6,0,10,6,76,36,64
620,20,0,6,8,5,0,8,1,15,0,6,6,31,0,27,43,2,2,0,0,2,9,0,10,12,5,8,0,0,2,2,6,0,2,6,17,0,19,27,132,38,136
621,18,0,4,10,17,5,7,12,20,0,9,20,32,0,47,54,25,16,0,8,6,36,0,50,58,28,28,0,5,8,16,10,2,6,20,48,0,45,74,284,112,364
622,82,0,26,84,0,0,0,0,43,0,21,61,91,0,123,116,111,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,4,6,28,47,0,82,78,360,198,624
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,32,54,91,0,120,97,92,46,0,14,42,14,20,0,12,30,47,0,72,88,336,222,540
624,42,0,12,14,33,9,11,32,9,0,5,18,52,0,65,81,48,26,0,10,8,46,0,58,68,45,15,0,3,5,2,0,0,2,0,18,0,20,34,284,112,364
625,26,0,18,18,51,21,47,10,0,0,0,0,53,0,71,83,63,64,0,24,80,85,0,149,105,96,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
626,44,0,12,24,0,0,0,0,50,0,16,47,69,0,64,102,19,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,4,12,46,47,0,78,103,284,112,364
627,6,2,4,8,12,6,8,1,27,1,12,22,33,0,45,47,43,2,0,2,8,28,0,34,43,22,24,0,14,8,22,60,10,30,40,61,0,91,146,340,128,580
628,146,24,48,50,18,6,8,8,0,0,0,0,106,0,124,164,118,2,0,0,2,10,0,24,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,284,168,416
629,120,0,74,96,23,11,31,7,8,0,5,11,109,0,182,133,152,4,0,2,4,23,0,39,34,28,3,0,0,0,0,0,0,0,0,6,0,15,12,360,198,672
630,10,0,0,4,4,1,3,1,6,0,1,4,13,0,14,17,7,8,0,0,6,15,0,18,19,3,8,0,1,7,2,4,0,2,2,16,0,14,15,90,28,116
631,40,0,10,4,0,0,0,0,9,0,3,1,31,0,33,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,8,9,76,42,58
632,0,0,0,4,4,0,0,0,8,3,0,1,8,0,9,6,12,0,0,0,0,6,0,6,6,5,5,1,0,3,4,14,0,0,8,26,0,20,15,76,24,72
633,6,0,2,0,27,6,4,14,13,0,6,12,24,0,40,37,27,34,0,12,8,50,0,66,79,35,23,0,7,17,16,6,0,4,18,42,0,36,65,284,112,364
634,0,0,0,0,5,0,4,0,2,0,1,1,7,0,6,9,0,16,0,6,8,26,0,29,25,7,14,0,1,3,0,2,0,0,6,10,0,10,15,98,28,102
635,74,0,36,42,33,18,49,10,9,0,8,12,79,0,113,128,78,22,0,8,12,49,0,80,51,52,6,0,1,5,0,0,0,0,0,10,0,18,22,360,198,648
636,160,30,126,74,4,5,3,2,7,2,6,7,114,13,148,233,170,0,0,0,0,3,0,5,5,5,0,0,0,1,0,0,0,0,0,5,0,9,10,340,158,608
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,16,30,66,8,99,63,55,48,0,19,20,24,4,0,2,16,42,20,25,110,280,198,264
638,10,0,4,6,7,3,9,0,5,0,1,2,23,0,20,20,3,16,0,2,10,17,0,20,19,5,4,0,0,3,0,0,0,0,0,4,0,7,9,98,28,118
639,46,0,14,18,24,7,6,11,20,0,7,20,52,16,54,68,57,10,0,2,6,29,8,32,42,21,10,0,5,8,6,8,2,0,10,27,4,38,47,280,198,264
640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,12,20,60,6,90,59,46,49,0,20,22,26,10,0,4,24,48,22,34,121,280,198,264
641,0,0,0,0,2,2,1,1,14,0,7,11,12,0,10,15,14,4,0,2,0,20,0,20,17,24,16,0,6,4,84,80,0,40,134,106,0,134,192,336,222,528
642,0,0,0,0,5,2,2,1,0,0,0,2,3,2,2,4,5,94,0,28,38,83,15,104,99,58,31,0,12,13,8,2,0,0,2,22,11,18,61,280,198,264
643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,22,0,46,41,31,40,0,10,11,72,70,14,16,98,94,0,96,152,284,112,364
644,4,0,0,0,13,5,5,5,5,0,3,7,15,2,19,15,13,62,0,16,18,65,14,81,80,48,29,0,11,16,4,14,0,2,8,28,12,24,69,280,198,264
645,18,0,8,6,17,4,13,9,26,0,7,42,39,0,50,65,44,12,0,10,6,34,0,52,47,40,19,0,8,17,28,26,0,16,32,65,0,80,102,360,198,552
646,6,0,0,6,6,0,4,0,10,0,5,7,14,0,18,26,4,4,0,0,0,11,0,14,14,7,11,0,1,4,8,12,0,8,10,23,0,25,45,132,38,144
647,34,0,12,16,24,8,10,9,28,0,8,16,52,11,66,61,48,6,0,2,4,25,8,25,44,21,12,0,3,4,4,8,4,0,6,31,9,33,66,280,198,264
648,82,20,54,44,38,25,25,30,4,0,2,8,84,6,113,166,109,12,2,6,10,35,1,51,68,38,2,0,2,0,0,0,0,0,0,3,0,6,12,340,158,600
649,24,0,4,24,23,13,25,9,19,0,10,24,48,0,66,59,63,22,0,2,30,50,0,70,70,60,24,0,7,23,12,8,6,0,22,40,0,71,56,360,198,600
650,24,0,8,0,16,0,5,0,0,0,0,0,26,0,25,17,28,4,0,0,4,14,0,15,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
651,156,28,126,66,10,4,10,4,3,1,5,6,113,14,145,224,171,0,0,0,0,6,0,9,16,6,0,0,0,1,0,0,0,0,0,3,0,6,8,340,158,608
652,26,2,28,6,8,3,5,3,39,2,21,42,55,0,66,95,50,0,0,0,4,14,0,15,34,3,8,1,5,5,42,44,18,12,34,53,0,91,133,340,134,598
653,2,0,0,0,15,5,6,11,2,0,0,0,14,0,12,20,6,142,0,42,54,100,0,125,155,62,3,0,2,3,0,0,0,0,0,2,0,6,7,284,112,364
654,32,0,16,22,18,7,24,3,28,0,10,44,57,0,75,73,74,10,0,0,14,36,0,44,41,41,21,0,8,15,6,16,4,2,38,45,0,78,75,360,198,600
655,0,0,0,0,3,0,2,0,0,0,0,2,4,0,3,6,0,20,0,0,14,26,0,28,28,6,13,0,2,8,2,4,0,0,4,14,0,16,10,98,28,118
656,68,6,46,30,5,3,5,3,40,7,17,44,76,3,102,152,73,2,0,0,0,6,0,11,12,10,3,1,2,3,10,26,10,6,24,40,1,56,91,340,134,608
657,0,0,0,0,2,2,2,0,5,0,0,1,4,0,6,4,8,10,0,0,0,13,0,11,12,13,7,1,0,4,4,12,0,0,4,23,0,17,11,76,24,72
658,90,0,28,74,20,9,26,8,22,0,7,37,85,0,127,116,102,4,0,0,8,26,0,34,38,22,4,0,5,4,4,4,2,2,8,27,0,38,40,360,198,624
659,26,0,8,2,16,3,4,14,28,0,10,27,40,0,55,63,37,10,0,4,6,25,0,37,42,19,17,0,6,7,20,12,0,8,28,51,0,50,79,284,112,364
660,2,0,0,2,2,1,2,3,21,0,11,14,18,0,14,27,27,0,0,0,4,16,0,16,13,19,20,0,6,14,70,70,0,36,126,104,0,146,166,336,222,528
661,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2,10,8,2
662,42,0,20,18,43,10,26,23,5,0,2,4,56,0,71,90,60,34,0,14,16,52,0,65,81,53,6,0,1,1,0,0,0,0,0,8,0,7,11,284,112,364
663,6,0,2,2,27,9,11,20,2,0,0,2,18,0,33,33,15,108,0,32,44,92,0,105,139,56,6,0,2,1,0,0,0,0,0,6,0,4,8,284,112,364
664,74,0,18,56,0,0,0,0,32,0,18,71,71,0,85,95,96,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,12,6,46,67,0,119,93,360,198,600
665,94,18,44,44,24,22,19,28,10,3,6,20,78,8,114,169,101,8,0,8,0,31,0,32,50,32,5,0,1,2,2,4,0,2,0,13,0,18,32,340,154,594
